Viajeros y tasas;TIPO DE TRANSPORTE;Ciudad;Periodo;Total
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2019M02;38.459
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2019M01;38.039
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M12;35.437
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M11;37.955
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M10;40.495
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M09;34.387
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M08;22.840
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M07;30.611
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M06;36.909
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M05;37.848
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M04;37.321
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M03;35.181
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M02;34.932
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2018M01;36.535
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M12;33.854
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M11;38.138
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M10;39.241
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M09;34.671
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M08;25.049
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M07;33.372
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M06;37.393
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M05;38.632
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M04;33.883
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M03;41.156
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M02;36.930
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2017M01;35.612
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M12;34.838
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M11;37.794
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M10;40.354
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M09;38.039
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M08;24.763
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M07;32.337
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M06;37.930
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M05;38.263
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M04;38.517
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M03;35.969
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M02;36.743
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2016M01;34.563
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M12;35.832
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M11;37.444
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M10;38.160
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M09;33.496
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M08;21.172
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M07;30.046
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M06;34.924
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M05;36.498
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M04;35.134
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M03;36.169
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M02;33.522
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2015M01;33.526
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M12;34.201
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M11;34.902
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M10;39.054
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M09;32.536
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M08;19.541
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M07;30.125
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M06;34.455
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M05;36.167
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M04;34.197
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M03;37.889
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M02;34.220
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2014M01;34.954
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M12;33.717
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M11;36.362
